id solution fitness
0 0000000000 5212
1 1000000000 4040
2 0100000000 4332
3 1100000000 3160
4 0010000000 4028
5 1010000000 2856
6 0110000000 3148
7 1110000000 1976
8 0001000000 4788
9 1001000000 3616
10 0101000000 3908
11 1101000000 2736
12 0011000000 3604
13 1011000000 2432
14 0111000000 2724
15 1111000000 1552
16 0000100000 3546
17 1000100000 2374
18 0100100000 2666
19 1100100000 1494
20 0010100000 2362
21 1010100000 1190
22 0110100000 1482
23 1110100000 310
24 0001100000 3122
25 1001100000 1950
26 0101100000 2242
27 1101100000 1070
28 0011100000 1938
29 1011100000 766
30 0111100000 1058
31 1111100000 114
32 0000010000 3524
33 1000010000 2352
34 0100010000 2644
35 1100010000 1472
36 0010010000 2340
37 1010010000 1168
38 0110010000 1460
39 1110010000 288
40 0001010000 3100
41 1001010000 1928
42 0101010000 2220
43 1101010000 1048
44 0011010000 1916
45 1011010000 744
46 0111010000 1036
47 1111010000 136
48 0000110000 1858
49 1000110000 686
50 0100110000 978
51 1100110000 194
52 0010110000 674
53 1010110000 498
54 0110110000 206
55 1110110000 1378
56 0001110000 1434
57 1001110000 262
58 0101110000 554
59 1101110000 618
60 0011110000 250
61 1011110000 922
62 0111110000 630
63 1111110000 1802
64 0000001000 3872
65 1000001000 2700
66 0100001000 2992
67 1100001000 1820
68 0010001000 2688
69 1010001000 1516
70 0110001000 1808
71 1110001000 636
72 0001001000 3448
73 1001001000 2276
74 0101001000 2568
75 1101001000 1396
76 0011001000 2264
77 1011001000 1092
78 0111001000 1384
79 1111001000 212
80 0000101000 2206
81 1000101000 1034
82 0100101000 1326
83 1100101000 154
84 0010101000 1022
85 1010101000 150
86 0110101000 142
87 1110101000 1030
88 0001101000 1782
89 1001101000 610
90 0101101000 902
91 1101101000 270
92 0011101000 598
93 1011101000 574
94 0111101000 282
95 1111101000 1454
96 0000011000 2184
97 1000011000 1012
98 0100011000 1304
99 1100011000 132
100 0010011000 1000
101 1010011000 172
102 0110011000 120
103 1110011000 1052
104 0001011000 1760
105 1001011000 588
106 0101011000 880
107 1101011000 292
108 0011011000 576
109 1011011000 596
110 0111011000 304
111 1111011000 1476
112 0000111000 518
113 1000111000 654
114 0100111000 362
115 1100111000 1534
116 0010111000 666
117 1010111000 1838
118 0110111000 1546
119 1110111000 2718
120 0001111000 94
121 1001111000 1078
122 0101111000 786
123 1101111000 1958
124 0011111000 1090
125 1011111000 2262
126 0111111000 1970
127 1111111000 3142
128 0000000100 4882
129 1000000100 3710
130 0100000100 4002
131 1100000100 2830
132 0010000100 3698
133 1010000100 2526
134 0110000100 2818
135 1110000100 1646
136 0001000100 4458
137 1001000100 3286
138 0101000100 3578
139 1101000100 2406
140 0011000100 3274
141 1011000100 2102
142 0111000100 2394
143 1111000100 1222
144 0000100100 3216
145 1000100100 2044
146 0100100100 2336
147 1100100100 1164
148 0010100100 2032
149 1010100100 860
150 0110100100 1152
151 1110100100 20
152 0001100100 2792
153 1001100100 1620
154 0101100100 1912
155 1101100100 740
156 0011100100 1608
157 1011100100 436
158 0111100100 728
159 1111100100 444
160 0000010100 3194
161 1000010100 2022
162 0100010100 2314
163 1100010100 1142
164 0010010100 2010
165 1010010100 838
166 0110010100 1130
167 1110010100 42
168 0001010100 2770
169 1001010100 1598
170 0101010100 1890
171 1101010100 718
172 0011010100 1586
173 1011010100 414
174 0111010100 706
175 1111010100 466
176 0000110100 1528
177 1000110100 356
178 0100110100 648
179 1100110100 524
180 0010110100 344
181 1010110100 828
182 0110110100 536
183 1110110100 1708
184 0001110100 1104
185 1001110100 68
186 0101110100 224
187 1101110100 948
188 0011110100 80
189 1011110100 1252
190 0111110100 960
191 1111110100 2132
192 0000001100 3542
193 1000001100 2370
194 0100001100 2662
195 1100001100 1490
196 0010001100 2358
197 1010001100 1186
198 0110001100 1478
199 1110001100 306
200 0001001100 3118
201 1001001100 1946
202 0101001100 2238
203 1101001100 1066
204 0011001100 1934
205 1011001100 762
206 0111001100 1054
207 1111001100 118
208 0000101100 1876
209 1000101100 704
210 0100101100 996
211 1100101100 176
212 0010101100 692
213 1010101100 480
214 0110101100 188
215 1110101100 1360
216 0001101100 1452
217 1001101100 280
218 0101101100 572
219 1101101100 600
220 0011101100 268
221 1011101100 904
222 0111101100 612
223 1111101100 1784
224 0000011100 1854
225 1000011100 682
226 0100011100 974
227 1100011100 198
228 0010011100 670
229 1010011100 502
230 0110011100 210
231 1110011100 1382
232 0001011100 1430
233 1001011100 258
234 0101011100 550
235 1101011100 622
236 0011011100 246
237 1011011100 926
238 0111011100 634
239 1111011100 1806
240 0000111100 188
241 1000111100 984
242 0100111100 692
243 1100111100 1864
244 0010111100 996
245 1010111100 2168
246 0110111100 1876
247 1110111100 3048
248 0001111100 236
249 1001111100 1408
250 0101111100 1116
251 1101111100 2288
252 0011111100 1420
253 1011111100 2592
254 0111111100 2300
255 1111111100 3472
256 0000000010 4144
257 1000000010 2972
258 0100000010 3264
259 1100000010 2092
260 0010000010 2960
261 1010000010 1788
262 0110000010 2080
263 1110000010 908
264 0001000010 3720
265 1001000010 2548
266 0101000010 2840
267 1101000010 1668
268 0011000010 2536
269 1011000010 1364
270 0111000010 1656
271 1111000010 484
272 0000100010 2478
273 1000100010 1306
274 0100100010 1598
275 1100100010 426
276 0010100010 1294
277 1010100010 122
278 0110100010 414
279 1110100010 758
280 0001100010 2054
281 1001100010 882
282 0101100010 1174
283 1101100010 2
284 0011100010 870
285 1011100010 302
286 0111100010 10
287 1111100010 1182
288 0000010010 2456
289 1000010010 1284
290 0100010010 1576
291 1100010010 404
292 0010010010 1272
293 1010010010 100
294 0110010010 392
295 1110010010 780
296 0001010010 2032
297 1001010010 860
298 0101010010 1152
299 1101010010 20
300 0011010010 848
301 1011010010 324
302 0111010010 32
303 1111010010 1204
304 0000110010 790
305 1000110010 382
306 0100110010 90
307 1100110010 1262
308 0010110010 394
309 1010110010 1566
310 0110110010 1274
311 1110110010 2446
312 0001110010 366
313 1001110010 806
314 0101110010 514
315 1101110010 1686
316 0011110010 818
317 1011110010 1990
318 0111110010 1698
319 1111110010 2870
320 0000001010 2804
321 1000001010 1632
322 0100001010 1924
323 1100001010 752
324 0010001010 1620
325 1010001010 448
326 0110001010 740
327 1110001010 432
328 0001001010 2380
329 1001001010 1208
330 0101001010 1500
331 1101001010 328
332 0011001010 1196
333 1011001010 24
334 0111001010 316
335 1111001010 856
336 0000101010 1138
337 1000101010 34
338 0100101010 258
339 1100101010 914
340 0010101010 46
341 1010101010 1218
342 0110101010 926
343 1110101010 2098
344 0001101010 714
345 1001101010 458
346 0101101010 166
347 1101101010 1338
348 0011101010 470
349 1011101010 1642
350 0111101010 1350
351 1111101010 2522
352 0000011010 1116
353 1000011010 56
354 0100011010 236
355 1100011010 936
356 0010011010 68
357 1010011010 1240
358 0110011010 948
359 1110011010 2120
360 0001011010 692
361 1001011010 480
362 0101011010 188
363 1101011010 1360
364 0011011010 492
365 1011011010 1664
366 0111011010 1372
367 1111011010 2544
368 0000111010 550
369 1000111010 1722
370 0100111010 1430
371 1100111010 2602
372 0010111010 1734
373 1010111010 2906
374 0110111010 2614
375 1110111010 3786
376 0001111010 974
377 1001111010 2146
378 0101111010 1854
379 1101111010 3026
380 0011111010 2158
381 1011111010 3330
382 0111111010 3038
383 1111111010 4210
384 0000000110 3814
385 1000000110 2642
386 0100000110 2934
387 1100000110 1762
388 0010000110 2630
389 1010000110 1458
390 0110000110 1750
391 1110000110 578
392 0001000110 3390
393 1001000110 2218
394 0101000110 2510
395 1101000110 1338
396 0011000110 2206
397 1011000110 1034
398 0111000110 1326
399 1111000110 154
400 0000100110 2148
401 1000100110 976
402 0100100110 1268
403 1100100110 96
404 0010100110 964
405 1010100110 208
406 0110100110 84
